id	tweetString	tweetWordArray	taggedLanguages
4728	So much of a friend: (Expresión sarcástica) Que tan buen amigo. She hid many things from me, so much of a friend.	So much of a friend : ( Expresión sarcástica ) Que tan buen amigo . She hid many things from me , so much of a friend . 	lang1 lang1 lang1 lang1 lang1 other other lang2 lang2 other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other 
4729	Giggle: Risita. Every time I see a baby I can’t help but to make them giggle.	Giggle : Risita . Every time I see a baby I can .Gi help but to make them giggle . 	ne other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4730	Jealous no solo significa celoso, tambien significa envidioso. You're going out with Julio? wow I'm so jealous	Jealous no solo significa celoso , tambien significa envidioso . You 're going out with Julio ? wow I 'm so jealous 	lang1 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 ne other lang1 lang1 lang1 lang1 lang1 
4731	@PerazaAbraham un inglés q a los nativos les parece extraño, yo quería reglas, pero me di cuenta q así no funciona :( I hope this helps :)	@PerazaAbraham un inglés q a los nativos les parece extraño , yo quería reglas , pero me di cuenta q así no funciona :( I hope this helps :) 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 other 
4732	@PerazaAbraham No sé si has leído mi material en la website, pero el inglés no se puede encajar en unas reglas ... +	@PerazaAbraham No sé si has leído mi material en la website , pero el inglés no se puede encajar en unas reglas ... + 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 other lang2 lang2 lang2 ambiguous lang2 lang2 lang2 lang2 lang2 lang2 other other 
4733	The silver lining: lado positivo/lo rescatable. After the tornado a silver lining: Family digs dogs out of rubble	The silver lining : lado positivo/lo rescatable . After the tornado a silver lining : Family digs dogs out of rubble 	lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 
4734	I broke out in hives: Tengo un brote de piel (Urticaria) I broke out in hives over my entire body due to a bad reaction to my medicine.	I broke out in hives : Tengo un brote de piel ( Urticaria ) I broke out in hives over my entire body due to a bad reaction to my medicine . 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 other ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4735	Acquaintance: Conocido. She’s my acquaintance, we hang out once in awhile, but I wouldn’t consider her very close.	Acquaintance : Conocido . She ’s my acquaintance , we hang out once in awhile , but I would n’t consider her very close . 	lang1 other lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other 
4736	Tough love: Cuando eres muy estricto con alguien porque lo amas. Some mothers believe that spanking their children is a form of showing toug	Tough love : Cuando eres muy estricto con alguien porque lo amas . Some mothers believe that spanking their children is a form of showing toug 	lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4737	Shameless: Sin vergüenza She is completely shameless, she doesn’t care who she has to step on as long as she gets what she wants.	Shameless : Sin vergüenza She is completely shameless , she does n’t care who she has to step on as long as she gets what she wants . 	lang1 other lang2 lang2 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4738	Freeloader: Alguien que toma ventaja de la generosidad de otros. My roommate is living off of my rent payments. She is such a freeloader	Freeloader : Alguien que toma ventaja de la generosidad de otros . My roommate is living off of my rent payments . She is such a freeloader 	lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 
4739	Crack me up: En Colombia; “me totié de la risa” En otros lados? Me dio mucha risa. That joke really cracked me up.	Crack me up : En Colombia ; “ me totié de la risa ” En otros lados ? Me dio mucha risa . That joke really cracked me up . 	lang1 lang1 lang1 other lang2 ne other other lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4740	@juanjeojeda Si,es hora punta,como en Colombia decimos hora pico, no me atreví a escribirlo, no quería escribir un coloq :) salds ty! :)	@juanjeojeda Si , es hora punta , como en Colombia decimos hora pico , no me atreví a escribirlo , no quería escribir un coloq :) salds ty ! :) 	other lang2 other lang2 lang2 lang2 other lang2 lang2 ne lang2 lang2 lang2 other lang2 lang2 lang2 ambiguous lang2 other lang2 lang2 lang2 lang2 lang2 other lang2 lang1 other other 
4741	Rush hour: hora de máximo tránsito I hate driving during rush hour.	Rush hour : hora de máximo tránsito I hate driving during rush hour . 	lang1 lang1 other lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 other 
4742	Onto something: Estar tras algo. Nick has been acting a little strange lately, I think he’s onto something.	Onto something : Estar tras algo . Nick has been acting a little strange lately , I think he ’s onto something . 	lang1 lang1 other lang2 lang2 lang2 other ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4743	Get back on your feet: Sostenerse por uno mismo I just need a little help so that I can get back on my feet.	Get back on your feet : Sostenerse por uno mismo I just need a little help so that I can get back on my feet . 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4744	Dolled up: Organizarse con MUCHO esmero. Person 1: What are you all dolled up for? Person 2: My husband and I got invited to a party.	Dolled up : Organizarse con MUCHO esmero . Person 1 : What are you all dolled up for ? Person 2 : My husband and I got invited to a party . 	lang1 lang1 other lang2 lang2 lang2 lang2 other lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4745	Push my buttons: Algo así como molestar. I’m not in a good mood right now, don’t push my buttons.	Push my buttons : Algo así como molestar . I ’m not in a good mood right now , do n’t push my buttons . 	lang1 lang1 lang1 other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other 
4746	@the_Niish No lo había pensado, el equivalente en mi tierra sería: no hace caso como dices tu, se rehusa a escuchar es muy buena interprerac	@the_Niish No lo había pensado , el equivalente en mi tierra sería : no hace caso como dices tu , se rehusa a escuchar es muy buena interprerac 	other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 
4747	Leftovers: Sobrados. Would you like leftovers from yesterday?	Leftovers : Sobrados . Would you like leftovers from yesterday ? 	lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4748	Jittery: Histérocp/Muy nervioso/InquietoI don’t like energy drinks because they make me jittery.	Jittery : Histérocp/Muy nervioso/InquietoI do n’t like energy drinks because they make me jittery . 	lang1 other mixed lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4749	Beating a dead horse Gastar pólvora en algo q no vale la pena I’ve tried talking to her but she won’t listen. It’s like beating a dead horse	Beating a dead horse Gastar pólvora en algo q no vale la pena I ’ve tried talking to her but she wo n’t listen . It ’s like beating a dead horse 	lang1 lang1 lang1 lang1 ne lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4750	@hbifollower si, ya estoy subiendo los nuevos tweets, tuve un pequeño problema, pero ya vuelven :)	@hbifollower si , ya estoy subiendo los nuevos tweets , tuve un pequeño problema , pero ya vuelven :) 	other lang2 other lang2 lang2 lang2 lang2 lang2 lang1 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other 
4751	@Hennrir gracias por el saludo, estamos trabajando mucho en la web para mejorarla, espero les ayude. Saludos colega :) let's keep in touch	@Hennrir gracias por el saludo , estamos trabajando mucho en la web para mejorarla , espero les ayude . Saludos colega :) let 's keep in touch 	other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 other lang1 lang1 lang1 lang1 lang1 
4752	@EliZaIBQ ambos existen: pero voy a revisar, creo que me equivoque en el spelling, I always say hang on to :)	@EliZaIBQ ambos existen : pero voy a revisar , creo que me equivoque en el spelling , I always say hang on to :) 	other lang2 lang2 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4753	As far as I know: Que yo sepa. As far as I know learning English is a work in progress, we learn something new every single day	As far as I know : Que yo sepa . As far as I know learning English is a work in progress , we learn something new every single day 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4754	Can you work my shift? Me puedes reemplazar en el trabajo?	Can you work my shift ? Me puedes reemplazar en el trabajo ? 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 other 
4755	Get a feel of: Tener una mejor idea. I’m going to do my internship so I can get a better feel of the kind of career I’m getting into	Get a feel of : Tener una mejor idea . I ’m going to do my internship so I can get a better feel of the kind of career I ’m getting into 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4756	Hear about: Enterarse de algo. Did you hear about the fire at the store?	Hear about : Enterarse de algo . Did you hear about the fire at the store ? 	lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4757	I’ve never heard of that:No tener conocimiento sobre algo P1: I think I’ll buy me a loco burrito. P2: Loco burrito? I’ve never heard of that	I ’ve never heard of that : No tener conocimiento sobre algo P1 : I think I ’ll buy me a loco burrito . P2 : Loco burrito ? I ’ve never heard of that 	lang1 lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 ambiguous other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 other ne other lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 
4758	Fill in for: Reemplazar a alguien. I’m feeling sick, I’ll ask Laura to fill in for me tomorrow.	Fill in for : Reemplazar a alguien . I ’m feeling sick , I ’ll ask Laura to fill in for me tomorrow . 	lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 other 
4759	Don’t settle for less: No te conformes con menos. Yes you can understand like a native speaker, you don’t have to settle for less.	Do n’t settle for less : No te conformes con menos . Yes you can understand like a native speaker , you do n’t have to settle for less . 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4760	All ears: Escuchando atentamente. Person 1: Listen carefully. Person 2: I’m all ears!	All ears : Escuchando atentamente . Person 1 : Listen carefully . Person 2 : I ’m all ears ! 	lang1 lang1 other lang2 lang2 other lang1 other other lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 other 
4761	Say it like it is: Decir la verdad. You’re the best person I know, I’m not exaggerating; I’m saying it like it is.	Say it like it is : Decir la verdad . You ’re the best person I know , I ’m not exaggerating ; I ’m saying it like it is . 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4762	Put down: Hacer sentir mal. I’m not trying to put you down, I’m just telling you the truth.	Put down : Hacer sentir mal . I ’m not trying to put you down , I ’m just telling you the truth . 	lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4763	Don’t give me that: No me digas esas mentiras. Person 1: I was going to wash the dishes, but then I felt sick. Person 2: Don’t give me that!	Do n’t give me that : No me digas esas mentiras . Person 1 : I was going to wash the dishes , but then I felt sick . Person 2 : Do n’t give me that ! 	lang1 other lang1 lang1 lang1 other ambiguous lang2 lang2 lang2 lang2 other lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 lang1 other 
4764	At the drop of a dime: Instantáneamente sin vacilación . Don’t test me, I’ll leave you at the drop of a dime.	At the drop of a dime : Instantáneamente sin vacilación . Do n’t test me , I ’ll leave you at the drop of a dime . 	lang1 lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ambiguous lang2 other 
4765	Get bent out of shape: Ofenderse. All I said was that you’re gaining weight, don’t get all bent out of shape because of it.	Get bent out of shape : Ofenderse . All I said was that you ’re gaining weight , do n’t get all bent out of shape because of it . 	lang1 lang1 lang1 lang1 lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4766	Have a blast: Divertirse. I had a blast at Disney World.	Have a blast : Divertirse . I had a blast at Disney World . 	lang1 lang1 lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 ne ne other 
4767	You can say that again: Muy cierto. Person 1: The economy is so bad! Person 2: You can say that again!	You can say that again : Muy cierto . Person 1 : The economy is so bad ! Person 2 : You can say that again ! 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 other lang1 other other lang1 lang1 lang1 lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 lang1 other 
4768	Under the weather: Estar enfermo. I’m going to take the day off from work because I’m feeling a bit under the weather.	Under the weather : Estar enfermo . I ’m going to take the day off from work because I ’m feeling a bit under the weather . 	lang1 lang1 lang1 other lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4769	Stuff one’s face: Comer mucho. I’m so hungry, I’m going to stuff my face with pizza when I get home.	Stuff one ’s face : Comer mucho . I ’m so hungry , I ’m going to stuff my face with pizza when I get home . 	lang1 lang1 lang1 lang1 other lang2 lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4770	Through thick and thin: En las buenas y en las malas. I’ll be there for you through thick and thin.	Through thick and thin : En las buenas y en las malas . I ’ll be there for you through thick and thin . 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4771	Spill the beans: Revelar. It was supposed to be a secret, but I accidently spilled the beans.	Spill the beans : Revelar . It was supposed to be a secret , but I accidently spilled the beans . 	lang1 lang1 lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4772	Cold shoulder: Desprecio. I tried to hug her, but she gave me the cold shoulder.	Cold shoulder : Desprecio . I tried to hug her , but she gave me the cold shoulder . 	lang1 lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4773	Call it a day: Terminar el dia. Ok guys, I’m really tired, it’s time to call it a day.	Call it a day : Terminar el dia . Ok guys , I ’m really tired , it ’s time to call it a day . 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4774	Glowing: Rebosante. Look at you, you’re glowing!	Glowing : Rebosante . Look at you , you ’re glowing ! 	lang1 other lang2 other lang1 lang1 lang1 other lang1 lang1 lang1 other 
4775	Pamper: Consentir. I like to pamper my mom when she’s sick.	Pamper : Consentir . I like to pamper my mom when she ’s sick . 	lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4776	Lit up: Iluminar. Her eyes lit up when Leo proposed to her.	Lit up : Iluminar . Her eyes lit up when Leo proposed to her . 	lang1 lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 other 
4777	Good terms: Buenas condiciones. Gary and I are on good terms again.	Good terms : Buenas condiciones . Gary and I are on good terms again . 	lang1 lang1 other lang2 lang2 other ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4778	Grasp: Comprender. I wasn’t able to grasp what she was talking about.	Grasp : Comprender . I was n’t able to grasp what she was talking about . 	lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4779	I have no clue: No tengo ni idea. Person 1: Where’s Sarah? Person 2: I have no clue.	I have no clue : No tengo ni idea . Person 1 : Where ’s Sarah ? Person 2 : I have no clue . 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 other lang1 other other lang1 lang1 ne other lang1 other other lang1 lang1 lang1 lang1 other 
4780	Stuck: Atascarse. I’m stuck here working for $8 an hour.	Stuck : Atascarse . I ’m stuck here working for $8 an hour . 	lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other 
4781	Lack Thereof: Falta del mismo / Falta de He worries about money, or lack thereof.	Lack Thereof : Falta del mismo / Falta de He worries about money , or lack thereof . 	lang1 ne other lang2 lang2 lang2 other lang2 lang2 lang1 lang1 lang1 lang1 other lang1 lang1 ambiguous other 
4782	In their hands: En sus manos The fate of my business rests in the government's hands.	In their hands : En sus manos The fate of my business rests in the government 's hands . 	lang1 lang1 lang1 other lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4783	Something’s wrong with that picture: Algo está mal con esta situación He’s never home to see his kids? Something’s wrong with that picture.	Something ’s wrong with that picture : Algo está mal con esta situación He ’s never home to see his kids ? Something ’s wrong with that picture . 	lang1 lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other 
4784	Careless mistake: Error por descuido I did the reports correctly, but just made a few careless mistakes.	Careless mistake : Error por descuido I did the reports correctly , but just made a few careless mistakes . 	lang1 lang1 other lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4785	Get the hang of it: Acostumbrarse a esto / Poder dominarlo Person 1: This new job is so stressful. Person 2: You’ll get the hang of it.	Get the hang of it : Acostumbrarse a esto / Poder dominarlo Person 1 : This new job is so stressful . Person 2 : You ’ll get the hang of it . 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 other lang2 lang2 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4786	Ran a stop sign: Saltarse una señal de Paro The cop pulled me over because I ran a stop sign.	Ran a stop sign : Saltarse una señal de Paro The cop pulled me over because I ran a stop sign . 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4787	Come to your senses: Recobrar el sentido You need to come to your senses and quit drinking.	Come to your senses : Recobrar el sentido You need to come to your senses and quit drinking . 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4788	Step aside: Hacerse a un lado/ Apartarse Step aside please, we need to get this ladder through.	Step aside : Hacerse a un lado/ Apartarse Step aside please , we need to get this ladder through . 	lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4789	Binge drinking- Consumo excesivo de alcohol. Many college students are known for binge drinking; they drink to get drunk.	Binge drinking- Consumo excesivo de alcohol . Many college students are known for binge drinking ; they drink to get drunk . 	lang1 lang1 lang2 lang2 lang2 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other 
4790	Cut the crap: Déjate de pendejadas (cómo lo digo en otras regiones?) Let’s cut the crap now, let’s get busy.	Cut the crap : Déjate de pendejadas ( cómo lo digo en otras regiones ? ) Let ’s cut the crap now , let ’s get busy . 	lang1 lang1 lang1 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other 
4791	Be patient. Pregunta común: Diana en cuanto tiempo aprendiste inglés? I'm still learning :) igual q en español, todavía hay mucho q aprender	Be patient . Pregunta común : Diana en cuanto tiempo aprendiste inglés ? I 'm still learning :) igual q en español , todavía hay mucho q aprender 	lang1 lang1 other lang2 lang2 other ne lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 
4792	I told you so: Te lo dije. El so hace falta para algunas frases, como Person 1: My boyfriend isn’t as good as I thought. P2: I told you so	I told you so : Te lo dije . El so hace falta para algunas frases , como Person 1 : My boyfriend is n’t as good as I thought . P2 : I told you so 	lang1 lang1 lang1 lang1 other lang2 lang2 lang2 other lang1 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other lang1 lang1 lang1 lang1 
4793	Careless mistakes. Errores por descuido. Try not to make any careless mistakes	Careless mistakes . Errores por descuido . Try not to make any careless mistakes 	lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4794	Cheers: Salud. Cuando brindamos decimos "Cheers"	Cheers : Salud . Cuando brindamos decimos " Cheers " 	lang1 other lang2 other lang2 lang2 lang2 other lang1 other 
4795	Downgrade: Bajar de categoría. Some say he downgraded because he went from being a lawyer, to being a cook.	Downgrade : Bajar de categoría . Some say he downgraded because he went from being a lawyer , to being a cook . 	lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other 
4796	Big bang for your buck: Super ganga / Excelente inversión	Big bang for your buck : Super ganga / Excelente inversión 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 other lang2 lang2 
4797	Bitter-Sweet: Dulce y amargo (agridulce). It was a bitter-sweet moment when my daughter moved out for college.	Bitter-Sweet : Dulce y amargo ( agridulce ) . It was a bitter-sweet moment when my daughter moved out for college . 	lang1 other lang2 lang2 lang2 other lang2 other other lang1 lang1 ambiguous lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4798	Let himself/herself go: Se descuidó. After marriage, he really let himself go.	Let himself/herself go : Se descuidó . After marriage , he really let himself go . 	lang1 lang1 lang1 other lang2 lang2 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other 
4799	Downgrade: Bajar de categoría. Some say he downgraded because he went from being a lawyer, to being a cook.	Downgrade : Bajar de categoría . Some say he downgraded because he went from being a lawyer , to being a cook . 	lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other 
4800	@EliZaIBQ Please pay attention. Can I get your attention please? 1 presta atencion. 2. Puedo tener tu atencion :)	@EliZaIBQ Please pay attention . Can I get your attention please ? 1 presta atencion . 2 . Puedo tener tu atencion :) 	other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 other other lang2 lang2 other other other lang2 lang2 lang2 lang2 other 
4801	memorizar: Know something by heart. I know this sentence by heart now	memorizar : Know something by heart . I know this sentence by heart now 	lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 
4802	Gruñir: Growls AT. My dog growls at everyone, I wish he wouldn't	Gruñir : Growls AT . My dog growls at everyone , I wish he would n't 	lang2 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 
4803	Llámame al celular/móvil: Call me ON my cellphone	Llámame al celular/móvil : Call me ON my cellphone 	lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 
4804	You told me not to: Me dijiste que no. Person 1: Why didn’t you clean the kitchen? Person 2: You told me not to!	You told me not to : Me dijiste que no . Person 1 : Why did n’t you clean the kitchen ? Person 2 : You told me not to ! 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 other lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other other lang1 lang1 lang1 lang1 lang1 other 
4805	Set loose: Dejar libre: Did you hear how Casey Anthony was set loose after only serving one year in jail?	Set loose : Dejar libre : Did you hear how Casey Anthony was set loose after only serving one year in jail ? 	lang1 lang1 other lang2 lang2 other lang1 lang1 lang1 lang1 ne ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
4806	pero nosotros aprendemos a decir I understand. Look for es fácil para un niño, pero nosotros tendemos a solo usar search... +	pero nosotros aprendemos a decir I understand . Look for es fácil para un niño , pero nosotros tendemos a solo usar search ... + 	lang2 lang2 lang2 lang2 lang2 lang1 lang1 other lang1 lang1 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang1 other other 
4807	vocabulario más fácil, pero...qué es fácil? lo q se nos parece al español o lo que un niño de 5 años sabe? "I get it" es fácil para un niño+	vocabulario más fácil , pero ... qué es fácil ? lo q se nos parece al español o lo que un niño de 5 años sabe ? " I get it " es fácil para un niño+ 	lang2 lang2 lang2 other lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other other lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 
4808	he venido reestructurando los tweets, una cosa es lo q yo les quiero mostrar y otra lo q ustedes quieren aprender jeje. Me han pedido ... +	he venido reestructurando los tweets , una cosa es lo q yo les quiero mostrar y otra lo q ustedes quieren aprender jeje . Me han pedido ... + 	lang2 lang2 lang2 lang2 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other other 
4809	There's two of them: Son dos. Shit, there's two of them. From the movie Top Gun	There 's two of them : Son dos . Shit , there 's two of them . From the movie Top Gun 	lang1 lang1 lang1 lang1 lang1 other lang2 lang2 other lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 ne 
